date,year,month,month_name,day,day_of_week,week_of_year,quarter
1998-07-12,1998,7,July,12,6,28,Q-3
1998-07-13,1998,7,July,13,0,29,Q-3
1998-07-14,1998,7,July,14,1,29,Q-3
1998-07-15,1998,7,July,15,2,29,Q-3
1998-07-16,1998,7,July,16,3,29,Q-3
1998-07-17,1998,7,July,17,4,29,Q-3
1998-07-18,1998,7,July,18,5,29,Q-3
1998-07-19,1998,7,July,19,6,29,Q-3
1998-07-20,1998,7,July,20,0,30,Q-3
1998-07-21,1998,7,July,21,1,30,Q-3
1998-07-22,1998,7,July,22,2,30,Q-3
1998-07-23,1998,7,July,23,3,30,Q-3
1998-07-24,1998,7,July,24,4,30,Q-3
1998-07-25,1998,7,July,25,5,30,Q-3
1998-07-26,1998,7,July,26,6,30,Q-3
1998-07-27,1998,7,July,27,0,31,Q-3
1998-07-28,1998,7,July,28,1,31,Q-3
1998-07-29,1998,7,July,29,2,31,Q-3
1998-07-30,1998,7,July,30,3,31,Q-3
1998-07-31,1998,7,July,31,4,31,Q-3
1998-08-01,1998,8,August,1,5,31,Q-3
1998-08-02,1998,8,August,2,6,31,Q-3
1998-08-03,1998,8,August,3,0,32,Q-3
1998-08-04,1998,8,August,4,1,32,Q-3
1998-08-05,1998,8,August,5,2,32,Q-3
1998-08-06,1998,8,August,6,3,32,Q-3
1998-08-07,1998,8,August,7,4,32,Q-3
1998-08-08,1998,8,August,8,5,32,Q-3
1998-08-09,1998,8,August,9,6,32,Q-3
1998-08-10,1998,8,August,10,0,33,Q-3
1998-08-11,1998,8,August,11,1,33,Q-3
1998-08-12,1998,8,August,12,2,33,Q-3
1998-08-13,1998,8,August,13,3,33,Q-3
1998-08-14,1998,8,August,14,4,33,Q-3
1998-08-15,1998,8,August,15,5,33,Q-3
1998-08-16,1998,8,August,16,6,33,Q-3
1998-08-17,1998,8,August,17,0,34,Q-3
1998-08-18,1998,8,August,18,1,34,Q-3
1998-08-19,1998,8,August,19,2,34,Q-3
1998-08-20,1998,8,August,20,3,34,Q-3
1998-08-21,1998,8,August,21,4,34,Q-3
1998-08-22,1998,8,August,22,5,34,Q-3
1998-08-23,1998,8,August,23,6,34,Q-3
1998-08-24,1998,8,August,24,0,35,Q-3
1998-08-25,1998,8,August,25,1,35,Q-3
1998-08-26,1998,8,August,26,2,35,Q-3
1998-08-27,1998,8,August,27,3,35,Q-3
1998-08-28,1998,8,August,28,4,35,Q-3
1998-08-29,1998,8,August,29,5,35,Q-3
1998-08-30,1998,8,August,30,6,35,Q-3
1998-08-31,1998,8,August,31,0,36,Q-3
1998-09-01,1998,9,September,1,1,36,Q-3
1998-09-02,1998,9,September,2,2,36,Q-3
1998-09-03,1998,9,September,3,3,36,Q-3
1998-09-04,1998,9,September,4,4,36,Q-3
1998-09-05,1998,9,September,5,5,36,Q-3
1998-09-06,1998,9,September,6,6,36,Q-3
1998-09-07,1998,9,September,7,0,37,Q-3
1998-09-08,1998,9,September,8,1,37,Q-3
1998-09-09,1998,9,September,9,2,37,Q-3
1998-09-10,1998,9,September,10,3,37,Q-3
1998-09-11,1998,9,September,11,4,37,Q-3
1998-09-12,1998,9,September,12,5,37,Q-3
1998-09-13,1998,9,September,13,6,37,Q-3
1998-09-14,1998,9,September,14,0,38,Q-3
1998-09-15,1998,9,September,15,1,38,Q-3
1998-09-16,1998,9,September,16,2,38,Q-3
1998-09-17,1998,9,September,17,3,38,Q-3
1998-09-18,1998,9,September,18,4,38,Q-3
1998-09-19,1998,9,September,19,5,38,Q-3
1998-09-20,1998,9,September,20,6,38,Q-3
1998-09-21,1998,9,September,21,0,39,Q-3
1998-09-22,1998,9,September,22,1,39,Q-3
1998-09-23,1998,9,September,23,2,39,Q-3
1998-09-24,1998,9,September,24,3,39,Q-3
1998-09-25,1998,9,September,25,4,39,Q-3
1998-09-26,1998,9,September,26,5,39,Q-3
1998-09-27,1998,9,September,27,6,39,Q-3
1998-09-28,1998,9,September,28,0,40,Q-3
1998-09-29,1998,9,September,29,1,40,Q-3
1998-09-30,1998,9,September,30,2,40,Q-3
1998-10-01,1998,10,October,1,3,40,Q-4
1998-10-02,1998,10,October,2,4,40,Q-4
1998-10-03,1998,10,October,3,5,40,Q-4
1998-10-04,1998,10,October,4,6,40,Q-4
1998-10-05,1998,10,October,5,0,41,Q-4
1998-10-06,1998,10,October,6,1,41,Q-4
1998-10-07,1998,10,October,7,2,41,Q-4
1998-10-08,1998,10,October,8,3,41,Q-4
1998-10-09,1998,10,October,9,4,41,Q-4
1998-10-10,1998,10,October,10,5,41,Q-4
1998-10-11,1998,10,October,11,6,41,Q-4
1998-10-12,1998,10,October,12,0,42,Q-4
1998-10-13,1998,10,October,13,1,42,Q-4
1998-10-14,1998,10,October,14,2,42,Q-4
1998-10-15,1998,10,October,15,3,42,Q-4
1998-10-16,1998,10,October,16,4,42,Q-4
1998-10-17,1998,10,October,17,5,42,Q-4
1998-10-18,1998,10,October,18,6,42,Q-4
1998-10-19,1998,10,October,19,0,43,Q-4
1998-10-20,1998,10,October,20,1,43,Q-4
1998-10-21,1998,10,October,21,2,43,Q-4
1998-10-22,1998,10,October,22,3,43,Q-4
1998-10-23,1998,10,October,23,4,43,Q-4
1998-10-24,1998,10,October,24,5,43,Q-4
1998-10-25,1998,10,October,25,6,43,Q-4
1998-10-26,1998,10,October,26,0,44,Q-4
1998-10-27,1998,10,October,27,1,44,Q-4
1998-10-28,1998,10,October,28,2,44,Q-4
1998-10-29,1998,10,October,29,3,44,Q-4
1998-10-30,1998,10,October,30,4,44,Q-4
1998-10-31,1998,10,October,31,5,44,Q-4
1998-11-01,1998,11,November,1,6,44,Q-4
1998-11-02,1998,11,November,2,0,45,Q-4
1998-11-03,1998,11,November,3,1,45,Q-4
1998-11-04,1998,11,November,4,2,45,Q-4
1998-11-05,1998,11,November,5,3,45,Q-4
1998-11-06,1998,11,November,6,4,45,Q-4
1998-11-07,1998,11,November,7,5,45,Q-4
1998-11-08,1998,11,November,8,6,45,Q-4
1998-11-09,1998,11,November,9,0,46,Q-4
1998-11-10,1998,11,November,10,1,46,Q-4
1998-11-11,1998,11,November,11,2,46,Q-4
1998-11-12,1998,11,November,12,3,46,Q-4
1998-11-13,1998,11,November,13,4,46,Q-4
1998-11-14,1998,11,November,14,5,46,Q-4
1998-11-15,1998,11,November,15,6,46,Q-4
1998-11-16,1998,11,November,16,0,47,Q-4
1998-11-17,1998,11,November,17,1,47,Q-4
1998-11-18,1998,11,November,18,2,47,Q-4
1998-11-19,1998,11,November,19,3,47,Q-4
1998-11-20,1998,11,November,20,4,47,Q-4
1998-11-21,1998,11,November,21,5,47,Q-4
1998-11-22,1998,11,November,22,6,47,Q-4
1998-11-23,1998,11,November,23,0,48,Q-4
1998-11-24,1998,11,November,24,1,48,Q-4
1998-11-25,1998,11,November,25,2,48,Q-4
1998-11-26,1998,11,November,26,3,48,Q-4
1998-11-27,1998,11,November,27,4,48,Q-4
1998-11-28,1998,11,November,28,5,48,Q-4
1998-11-29,1998,11,November,29,6,48,Q-4
1998-11-30,1998,11,November,30,0,49,Q-4
1998-12-01,1998,12,December,1,1,49,Q-4
1998-12-02,1998,12,December,2,2,49,Q-4
1998-12-03,1998,12,December,3,3,49,Q-4
1998-12-04,1998,12,December,4,4,49,Q-4
1998-12-05,1998,12,December,5,5,49,Q-4
1998-12-06,1998,12,December,6,6,49,Q-4
1998-12-07,1998,12,December,7,0,50,Q-4
1998-12-08,1998,12,December,8,1,50,Q-4
1998-12-09,1998,12,December,9,2,50,Q-4
1998-12-10,1998,12,December,10,3,50,Q-4
1998-12-11,1998,12,December,11,4,50,Q-4
1998-12-12,1998,12,December,12,5,50,Q-4
1998-12-13,1998,12,December,13,6,50,Q-4
1998-12-14,1998,12,December,14,0,51,Q-4
1998-12-15,1998,12,December,15,1,51,Q-4
1998-12-16,1998,12,December,16,2,51,Q-4
1998-12-17,1998,12,December,17,3,51,Q-4
1998-12-18,1998,12,December,18,4,51,Q-4
1998-12-19,1998,12,December,19,5,51,Q-4
1998-12-20,1998,12,December,20,6,51,Q-4
1998-12-21,1998,12,December,21,0,52,Q-4
1998-12-22,1998,12,December,22,1,52,Q-4
1998-12-23,1998,12,December,23,2,52,Q-4
1998-12-24,1998,12,December,24,3,52,Q-4
1998-12-25,1998,12,December,25,4,52,Q-4
1998-12-26,1998,12,December,26,5,52,Q-4
1998-12-27,1998,12,December,27,6,52,Q-4
1998-12-28,1998,12,December,28,0,53,Q-4
1998-12-29,1998,12,December,29,1,53,Q-4
1998-12-30,1998,12,December,30,2,53,Q-4
1998-12-31,1998,12,December,31,3,53,Q-4
